Distrito,Ano Semestre,EI,CE,SR,AI,AF,EM,EJAFAI,EJAFAF,EJAEM
SANTO ANASTACIO,2020: Semestre 2,0.0,2.0,0.0,43.77777777777778,135.0,105.03703703703704,0.6666666666666666,16.925925925925927,7.444444444444445
MIRANTE DO PARANAPANEMA,2020: Semestre 2,0.0,4.903225806451613,0.0,30.483870967741936,96.16129032258064,91.90322580645162,0.0,10.258064516129032,9.161290322580646
ASSIS,2020: Semestre 2,0.0,4.0,0.0,17.3265306122449,186.91836734693877,121.38775510204081,2.5918367346938775,18.979591836734695,9.755102040816327
OURINHOS,2020: Semestre 2,0.0,1.75,0.0,30.666666666666668,188.25,164.13888888888889,0.9166666666666666,26.194444444444443,7.888888888888889
MIRACATU,2020: Semestre 2,0.2564102564102564,3.0,0.0,7.538461538461538,135.35897435897436,97.38461538461539,0.10256410256410256,9.461538461538462,4.358974358974359
NORTE 1,2021: Semestre 1,0.0,4.09433962264151,0.0,273.62264150943395,208.37735849056602,266.4811320754717,0.0,50.424528301886795,0.0
CENTRO,2021: Semestre 1,0.0,3.0789473684210527,0.0,208.22368421052633,167.4078947368421,151.75,0.6710526315789473,21.394736842105264,1.013157894736842
NORTE 2,2021: Semestre 1,0.0,10.383561643835616,0.0,323.1917808219178,224.95890410958904,211.23287671232876,0.0,33.6986301369863,0.0
LESTE 5,2021: Semestre 1,0.0,2.696629213483146,0.0,197.19101123595505,163.9438202247191,220.6629213483146,0.550561797752809,20.06741573033708,0.8876404494382022
CENTRO SUL,2021: Semestre 1,0.0,6.9605263157894735,0.0,239.26315789473685,192.67105263157896,174.55263157894737,0.0,33.36842105263158,0.0
SAO JOSE DOS CAMPOS,2021: Semestre 1,0.0,3.109375,0.0,126.953125,204.765625,283.59375,0.0625,26.390625,0.109375
LESTE 4,2021: Semestre 1,0.0,2.5949367088607596,0.0,271.7848101265823,212.34177215189874,236.0506329113924,0.0,51.59493670886076,0.0
LESTE 1,2021: Semestre 1,0.0,2.5274725274725274,0.0,314.7802197802198,233.93406593406593,223.74725274725276,0.0,25.395604395604394,1.3296703296703296
LESTE 2,2021: Semestre 1,0.0,3.0736842105263156,0.0,322.58947368421053,245.56842105263158,249.31578947368422,0.0,42.02105263157895,0.30526315789473685
LESTE 3,2021: Semestre 1,0.0,3.3076923076923075,0.0,329.7307692307692,243.96153846153845,276.03846153846155,0.0,49.37179487179487,0.0
CENTRO OESTE,2021: Semestre 1,0.0,2.950617283950617,0.0,174.96296296296296,144.74074074074073,188.7283950617284,0.5061728395061729,21.28395061728395,0.5925925925925926
BOTUCATU,2021: Semestre 1,0.0,3.972972972972973,0.0,0.0,206.8918918918919,225.3783783783784,0.0,13.567567567567568,2.2432432432432434
VOTORANTIM,2021: Semestre 1,0.0,2.06,0.0,5.9,209.82,174.76,0.28,8.54,6.7
LIMEIRA,2021: Semestre 1,0.0,3.6666666666666665,0.0,16.05128205128205,302.7564102564103,234.10256410256412,0.6923076923076923,26.71794871794872,8.41025641025641
ARARAQUARA,2021: Semestre 1,0.0,3.642857142857143,0.0,118.27142857142857,135.52857142857144,128.9142857142857,0.38571428571428573,22.314285714285713,5.571428571428571
PRESIDENTE PRUDENTE,2021: Semestre 1,0.0,4.204081632653061,0.0,4.489795918367347,230.9591836734694,166.3469387755102,1.3673469387755102,9.653061224489797,5.285714285714286
CARAGUATATUBA,2021: Semestre 1,0.3,6.375,0.0,0.975,136.975,239.425,0.35,21.75,8.05
CARAPICUIBA,2021: Semestre 1,0.0,2.7976190476190474,0.0,245.10714285714286,365.9642857142857,241.4404761904762,0.0,24.86904761904762,8.535714285714286
SUL 2,2021: Semestre 1,0.0,3.2526315789473683,0.0,367.0842105263158,301.5684210526316,278.2736842105263,0.0,44.0,0.0
SUL 1,2021: Semestre 1,0.0,3.5652173913043477,0.0,352.64130434782606,276.2608695652174,290.4673913043478,0.0,40.52173913043478,0.0
