Distrito,Ano Semestre,EI,CE,SR,AI,AF,EM,EJAFAI,EJAFAF,EJAEM
BOTUCATU,2019: Semestre 1,0.0,3.3513513513513513,0.0,0.0,209.1081081081081,236.64864864864865,0.0,17.405405405405407,2.7567567567567566
VOTORANTIM,2019: Semestre 1,0.0,2.06,0.0,5.92,212.9,177.86,0.28,10.24,9.86
LIMEIRA,2019: Semestre 1,0.0,3.3461538461538463,0.0,16.012820512820515,307.15384615384613,242.52564102564102,0.7307692307692307,27.435897435897434,9.346153846153847
CARAGUATATUBA,2019: Semestre 1,0.25,7.375,0.0,1.0,139.95,257.95,0.4,24.125,8.15
PRESIDENTE PRUDENTE,2019: Semestre 1,0.0,4.408163265306122,0.0,4.510204081632653,234.57142857142858,174.16326530612244,1.5714285714285714,10.081632653061224,6.326530612244898
ARARAQUARA,2019: Semestre 1,0.0,3.4285714285714284,0.0,118.18571428571428,137.1,135.0142857142857,0.32857142857142857,27.142857142857142,5.871428571428571
CARAPICUIBA,2019: Semestre 1,0.0,2.738095238095238,0.0,246.45238095238096,373.4761904761905,250.86904761904762,0.0,32.642857142857146,10.916666666666666
SUL 2,2019: Semestre 1,0.0,3.042105263157895,0.0,369.7368421052632,308.9578947368421,290.9684210526316,0.0,54.51578947368421,0.0
SUL 1,2019: Semestre 1,0.0,3.5,0.0,355.2173913043478,285.0326086956522,309.89130434782606,0.0,51.869565217391305,0.0
SAO JOSE DO RIO PRETO,2019: Semestre 1,0.0,3.375,0.0,0.0,270.69642857142856,261.14285714285717,0.875,22.946428571428573,2.875
GUARULHOS SUL,2019: Semestre 1,0.0,4.534883720930233,0.0,161.7906976744186,377.4186046511628,255.06976744186048,0.0,35.36046511627907,7.034883720930233
CAIEIRAS,2019: Semestre 1,0.0,2.3950617283950617,0.0,26.358024691358025,351.08641975308643,237.45679012345678,1.0493827160493827,36.0,5.444444444444445
JABOTICABAL,2019: Semestre 1,0.0,6.03125,0.0,0.0,190.40625,205.625,0.78125,30.25,12.78125
APIAI,2019: Semestre 1,0.0,3.3783783783783785,0.0,26.0,130.7027027027027,83.24324324324324,0.0,3.135135135135135,4.108108108108108
GUARULHOS NORTE,2019: Semestre 1,0.0,6.314606741573034,0.0,137.22471910112358,389.91011235955057,251.3932584269663,0.9550561797752809,34.07865168539326,0.7415730337078652
BAURU,2019: Semestre 1,0.21212121212121213,6.2727272727272725,0.06060606060606061,101.16161616161617,196.97979797979798,145.32323232323233,2.0707070707070705,11.404040404040405,10.212121212121213
PINDAMONHANGABA,2019: Semestre 1,0.0,2.1176470588235294,0.0,0.0,154.13725490196077,145.68627450980392,1.5490196078431373,24.274509803921568,11.862745098039216
ITAPECERICA DA SERRA,2019: Semestre 1,0.0,3.9393939393939394,0.0,66.34848484848484,224.72727272727272,173.34848484848484,0.0,18.606060606060606,6.878787878787879
FRANCA,2019: Semestre 1,0.0,6.302631578947368,0.0,76.5,226.8815789473684,160.43421052631578,0.5394736842105263,0.8947368421052632,1.4210526315789473
JACAREI,2019: Semestre 1,0.0,5.806451612903226,0.0,1.3387096774193548,303.61290322580646,208.8548387096774,0.0,32.903225806451616,14.225806451612904
SUZANO,2019: Semestre 1,0.0,8.285714285714286,0.0,141.14285714285714,382.8253968253968,280.968253968254,0.0,32.492063492063494,8.380952380952381
MOGI DAS CRUZES,2019: Semestre 1,0.0,10.0,0.0,19.53731343283582,293.8059701492537,252.08955223880596,0.0,13.313432835820896,0.5671641791044776
DIADEMA,2019: Semestre 1,0.0,6.711864406779661,0.0,218.5593220338983,342.89830508474574,256.1525423728813,0.13559322033898305,43.94915254237288,0.4576271186440678
ITAQUAQUECETUBA,2019: Semestre 1,0.0,5.65625,0.0,16.59375,407.25,277.484375,0.0,47.03125,16.25
GUARATINGUETA,2019: Semestre 1,0.0,2.515151515151515,0.0,0.0,127.95454545454545,169.62121212121212,0.4090909090909091,38.484848484848484,4.454545454545454
SAO BERNARDO DO CAMPO,2019: Semestre 1,0.0,4.341463414634147,0.0,0.036585365853658534,435.2439024390244,280.280487804878,0.0,42.146341463414636,2.3292682926829267
SANTO ANDRE,2019: Semestre 1,0.0,2.643835616438356,0.0,75.3013698630137,344.8493150684931,237.6986301369863,0.0,31.301369863013697,0.0
