COD_ESC;NOME_ESCOLA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF
461325;JARDIM IPE;0;0;0;1049;0;0;0;0;0
902305;EUGENIO MARIZ DE OLIVEIRA NETTO;0;0;0;318;346;221;0;82;0
902512;MIGUEL MUNHOZ FILHO;0;14;0;0;696;685;0;0;0
904348;MARTINHO DA SILVA;0;0;0;456;429;0;0;0;0
904879;GIL VICENTE;0;0;0;591;551;317;0;0;0
908373;MAUD SA DE MIRANDA MONTEIRO PROFESSORA;0;0;0;0;416;271;0;0;0
914733;FLAVIO LA SELVA PROFESSOR;0;0;0;0;454;448;0;145;0
915725;JACQUES ORLANDO CAMINHA D AVILA REVERENDO;0;0;0;240;241;758;0;303;0
923552;ZENAIDE AVELINO MAIA PROFESSORA;0;21;0;678;0;0;0;0;0
1545;PANDIA CALOGERAS;0;5;0;378;0;0;0;0;0
1569;OSWALDO CRUZ;0;16;0;301;306;328;0;0;0
1843;FRANCISCO BORGES VIEIRA DOUTOR;0;3;0;0;142;604;0;128;0
1879;JOAO FIRMINO DE CAMPOS;0;9;0;376;0;0;0;0;0
3724;ROLDAO LOPES DE BARROS PROFESSOR;0;20;0;0;113;329;0;138;0
3797;FABIANO LOZANO MAESTRO;0;0;0;0;240;545;0;0;0
4315;JULIO DE MESQUITA FILHO;0;10;0;219;186;0;0;0;0
4339;ATALIBA DE OLIVEIRA PROFESSOR;0;0;0;0;0;1363;0;0;0
4431;MANUELA LACERDA VERGUEIRO;0;0;0;0;493;549;0;429;0
4492;GUALTER DA SILVA PROFESSOR;0;0;0;0;137;87;0;0;0
4546;RAUL FONSECA;0;0;0;0;375;498;0;0;0
4741;JULIO RIBEIRO;0;14;0;0;0;198;0;0;0
4820;JOSE VICENTE DE AZEVEDO CONDE;0;0;0;0;0;257;0;0;0
36985;OSWALDO GUERNER GONZALEZ PROFESSOR;0;3;0;346;0;0;0;0;0
37618;ALVARO DE SOUZA LIMA DOUTOR;0;14;0;436;279;349;0;0;0
38155;RUBENS DO AMARAL DEPUTADO;0;0;0;514;0;0;0;0;0
38179;CARLOS PASQUALE PROFESSOR;0;2;0;0;320;0;0;0;0
409169;TERUKO UEDA YAMAGUTI PROFESSORA;0;0;0;0;532;762;0;421;0
904326;TANCREDO NEVES PRESIDENTE;0;0;0;491;452;0;0;0;0
911033;HENRIQUE DE SOUZA FILHO HENFIL;0;0;0;344;0;0;0;0;0
985788;CEL JTO A EE JULIA MACEDO PANTOJA PROFESSORA;0;0;0;0;0;0;0;0;0
4686;PEROLA BYINGTON DONA;0;0;0;0;264;83;0;0;0
4753;NELSON FERNANDES DEPUTADO;0;0;0;530;0;0;0;0;0
4807;DOMINGOS QUIRINO FERREIRA CORONEL;0;0;0;0;447;578;0;313;0
4947;NEYDE APPARECIDA SOLLITTO PROFESSORA;0;9;0;444;522;403;0;0;0
5071;EUSEBIO DE PAULA MARCONDES PROFESSOR;0;0;0;0;303;491;0;260;0
5083;JOAQUIM ADOLFO ARAUJO PROFESSOR;0;0;0;0;313;577;0;0;0
5162;ALBERTO CONTE PROFESSOR;0;0;0;0;0;1602;0;0;0
5216;ISALTINO DE MELLO PROFESSOR;0;0;0;0;0;969;0;0;0
38180;ARTHUR WOLFF NETTO PROFESSOR;0;9;0;564;0;0;0;0;0
38209;MIGUEL ROQUE PROFESSOR;0;0;0;333;0;0;0;0;0
